重庆联通,#genre#
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-3高清,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8

华数,_123#genre#
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-3高清,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8

咪咕,#genre#
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-3高清,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8


有线123,#genre#
CCTV-1高清,http://ivi.bupt.edu.cn/hls/cctv1hd.m3u8
CCTV-3高清,http://ivi.bupt.edu.cn/hls/cctv3hd.m3u8
CCTV-6高清,http://ivi.bupt.edu.cn/hls/cctv6hd.m3u8
CCTV-8高清,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8






